label,text
1,"Being a big fan of the genre, I had read quite a few of Steve Berry's books and enjoyed them up to this point. But after reading The Third Secret, I will never read another Steve Berry book again.The plot line borrowed significantly from the likes of Dan Brown in his DaVinci Code and Angels & Demons books without providing anything original besides a ludicrous conclusion. When I finally arrived at the conclusion that is so terrible it felt like I got punked by Berry, I physically threw the book down in disgust.I have never read such a terrible book in my life.Goodbye Steve Berry!"
1,"This is a tragedy in two ways. Everyone dies at the end, and if you have to or choose to read this you will experience a tragedy.I can compare this book to a lobster.People say lobsters are a delecacy and you have to get through a shell to get to the meat.This book is a ""classic"" and you have dissect each and every sentence to get a general understanding.Avoid this book at all costs, if you have to read it in school then you are better off faking a concusion!"
1,"The fact of the matter is this book is total fiction, the elaborate work of Vincent Bugliosi's imagination due to due his ignorant and superstitious ""ideology"".He needed to give ""evil"" a face... and Manson was convenient.""Helter Skelter"" has made Bugliosi wealthy beyond belief.I guess whatever sells a book, right? Charles Manson, a human being... was simply collateral damage."
2,"I wear large shoes, mens size 14 U.S.A. so I have to use every other spot, but it still works great! before I got this shoes littered my room because I ran out of slots under my bed. I didnt want to get rid of shoes because I color coordinate (fashionable, [...]). If I had more room, i woulld order a second one of these bad boys to sit next to the other one. too bad i dont =("
2,"As the product description does not list the contents of the book, I will:Chapters1) Writing and the study of English composition2) Good writing as composition3) Narration and description4) Exposition and argumentation5) Paragraphs6) Sentences and words: style7) Style: correctness8) Style: economy and increment9) Style: pure movement10) Style and composition11) Methods and applicationsThis book is an insightful guide to writers seeking to increase the cohesiveness and progression of their writing. I would not recommend this to someone looking to learn to write, but to someone looking to write more effectively. It pulls together all styles of writing and discusses the elements common to these styles that make writing more effective. The working premise of this book is that effective writing achieves what you wish it to achieve, and that clarity and progression should be a writer's primary concerns."
1,"List price over $500, $300 here. That would sound good--except this exact ladder (Type 1, 22 foot, model 10303) is only $259 at the Little Giant website with free shipping, $249 from Home Depot again with free shipping. So the 'free work platform' is actually costing $40-$50 dollars...which is not exactly a bargain.I did eventually get one of these ladders and as long as you don't mind the weight (too much for my wife) they are amazingly convenient."
1,"Ok this stuff is terrible. These reviews have to be fake. Like other reviewers have noted, because the wart medicine is mixed into the chapstick like material of this stick, it makes it completely useless. Also its hard to really target just the wart since the stick is so big. You are much better off doing what I did and buying Compound W which is a gel and extremely powerful. I'm having much better success with it. You get what you pay for."
2,"I ordered this for a Christmas Party I will be attending this year. I ordered red, but became worried it would be more of a fire engine red...it actually turned out to be a deeper color and is GORGEOUS! I am absolutely happy with it. It was delivered quickly. I put it on this morning when I received it and it fits perfectly. The only issue I have is wanting a little shape to the bottom, so I'm having a bit of tulle put on the slip so that it will bell out a bit. However, I would recommend it...I'm a pretty big girl and it fits me well and looks great! Thanks!"
1,The video version I ordered was not what I thought I was going to receive. I bought one to view and one to give as a gift. It was very dark with distorted characters and a great disappointment. It was hard to see at times and very unacceptable. In conscience I couldn't keep the one for me nor could I give the other as gift. That is why I returned both copies for a refund. Why do you not create a more modern colored version of Ahmal and the Night Visitors for a DVD?Thank you for reading my thoughts on this subject.
1,"If you have access to templates, or internet @ home etc. this book is not useful. I really don't understand the great reviews here. I think that someone could get the same information by strolling the internet for resume tips. Perhaps the information used on some websites is taken from this book. This is a petite to the point book, which is a plus and a minus because while it provides some advice, it is not useful on a regular basis which is why I refer to gathering the information online for free."
1,"Okay, Clay Aiken may be a dork in person, but the fact of the matter is he won runner up in American Idol and can sing, and that's about it.When I saw him on American Idol, I was disgusted! Clay sings cheesy awful ballads that make you want to hit the ""mute"" button on your remote. What's even more disgusting is his God-awful wardrobe! The fact that so many teenage girls out there are so in love with Clay makes me want to vomit!!! This music is for nerds only! GET REAL!!!!"
1,"I bought the Soyo 24 inch monitor based on a $100 reduction in price at Office Max and what appeared to be a review on the internet. Previously I had a Viewsonic 17"" LCD monitor which was pretty bad too. The Soyo has a bad stand that is supposed to be adjustable, but I could not do it and had to prop it at an angle with a book. The User's manual is nearly incomprehensible. The speakers have to be the worst sounding ones I've ever heard. I am going to repack and try to return it and buy something better ever if I have to pay more."
1,"I love Clay's voice and I bought this album and I will buy the next. I think this album is overproduced and all the songs sound the same. I hope Clay's next album brings more personal meaning to his songs, and let's his voice come through more. I'm still a huge fan, I think his producers missed the mark unfortunately."
1,"Although the subject matter is excellent, as are the stories, the editing is very poor. Editing in such a way as the tape ends in the middle of a story is uncalled for in this day and age.Brokaw needs to understand words beginning with an x are sounded as if starting with a z. Thus, Xavier University is pronounced as ""Zavier"" and not ""Exavier."" For a professional, this is simply unacceptable."
1,"I have had the TV for two weeks. The picture quality is very inconsistent. It ranges from completely fantastic to unwatchable. For me, the most annoying problem is that the TV over processes images to create lot of artifacts. Human skin can look very unnatural and pixelated.I don't know if I got a poor sample or it is endemic to Samsung TVs. Some posters on avsforum have reported the same problem.Buy at a local store so you can return it, there is a good chance that you might not like it."
2,it is one of the the best pmp's around . a great LCD and really good looks wit a 30GB capacity . well the price is a bit on the expensive side ........when compared to the archos AV420 which is at 306$ wit the capability of video recording facility . . . . .well i bought a creative and i dont regret it at all . . . . . excpt they could have put in the recording facility .it will be the best one around .
2,i think sudden fear is a very good example of the so called films noirs and also joan crawfords performace is very convincing as the frightned woman who tries to save her life as well as she can
1,"I bought this adapter almost two years ago and it still works-kind of. The insulation on the area of the cable where it enters the brick has become damaged, exposing the outer wire. I taped it up, but there is always a connection issue, where the AC indicator at the top of the screen will often flash to battery power and then back to AC. I keep the AC adaptor in the front compartment of my backpack, so it sees some but not major abuse. I'm sure this won't be an issue if you aren't traveling with it, but I just thought I would relate my experience."
2,"This story broke my heart. I could not put this book down until I read the whole story. I am amazed at what this child had to go through before someone recognized that she was dyslexic and needed help in order to learn to read. It made me wish that every child had a place they could go where they felt safe and cared about, where no one would make fun of them because they could not read or write or do math, skills that most children take for granted. It made me realize that schools should provide every child a place to go where they felt safe and cared about, a place such as the resource room and teacher as described in this story. It also made me realize how important it is that teachers learn to recognize signs of dyslexia in children in their classrooms and bring it to the attention of appropriate school personnel. This is a wonderful book that I would highly recommend for teachers, parents, and educational/school psychologists to read."
2,"I discovered this book years and years ago in the fourth grade. The thought of it stayed with me through the years. I bought the book for my friend's son a couple years ago and reread it to see if it was as good as I remembered. It was even better because as an adult I can see some of the most important themes of the book that weren't evident to a child. Tolerance and acceptance are perhaps the biggest lessons of all to take away from it. Independence is another. I will continue to buy this book every time a child close to me comes to the age where they can understand it. The plotline is enough to keep them interested while at the same time teaching them valuable life lessons, without them even knowing it."
1,"This is a very, very long film, but poor performances make it longer. $24 is a lot to pay for an incomplete story line."
2,"The second installment of the Narnia series. The blockbuster movie of the beloved classic by C. S. Lewis. Peter, Mary, Edmund, and Lucy return to Narnia to help free the Narnians from invaders. They join forces with prince caspian to triumph over evil once again and save Narnia."
2,i hope this review finds it's way to the write place..I enjoyed this book/found it thought provoking and moving<sprinkled with a fair bit of humor and real life drama. One truly gets the impact of the trials and tribulations of a muscians journey.
1,"Not much dharma going on here. But lots of bum. In fact, I'm totally bummed out finishing this novel because now I feel very uncool to not be enamoured with this bible of the beat generation but I, just, don't, get, it. So much rambling! Excruciatingly long sentences perfunctorily reporting things as they happen in the style of `then he said this and then I picked that up and then she went outside...' [Insert yawn here]. There are glimpses of good authorship in some parts of the novel but for the most part it is unbelievably boring with a monotonic narrator's voice that had me re-discovering my speed-reading skills just to finish the thing. Disappointing because I love a good story and I love Eastern philosophy but this is neither. Unless you're an impressionable teenager who thinks bumming around is cool and everything your friends think is cool, and anything indie is cool, forget it."
2,First I love John Wayne movies. I remember seeing this one when I was younger and wanted it. I really like the movies where you knew the Stars (not just actors/actresses who are here today for a couple movies and who knows them after that). I also love the movies of the 40s-early 60's as they told stories that you could also use your imagination on. That is not telling/showing me every detail that belongs in the bathroom and bedroom using vulgar language as well.
2,"Very good amount for the price. Smells nice too. However, the smell reminds me of clean laundry. I was wanting something a little different, a little younger. Still smells pretty good though. Curve smells better in the men cologne to me."
2,I'm never surprised by anything Connie Francis does. In this album she takes on the greats from Patsy Cline to Hank Williams and does not disappoint. Well worth the purchase for any Connie Francis and Country fan.
2,All of these books that I have ordered are excellant. My grandaughter has me read them at least three times a day. We are both very happy w/ them.
2,"We all know about Shakespeare, so a review of his writing is not required. However, I would like to say that the Everyman's Library series are worth getting. Unlike omnibus editions (such as the Riverside Shakespeare), these are actually portable so you don't need a table to hold them up while you are reading. The Everyman's Library series have good hardbindings, are conveniently sized to carry around, and have illuminating and extensive introductions. The typeface used is old, but the letters are large and easily readable (something that is a concern with some other editions).Tragedies, Volume 2 contains: Titus Andronicus; Troilus and Cressida; Julius Ceaser; Anthony and Cleopatra; Timon of Athens; Coriolanus"
2,Provides many yoga-based stretching exercises that are great for people who spend a lot of time working at a desk or some other sort of sedentary occupation.
1,"This book is okay, but Brown Jenkin is not what I saw when I read HPL's ""Dreams in the Witch House.""It's not a good Masterton book, either. The last 30 pages seem as if he had to get it done fast, or be sued by the publisher.Skip it. ""Spirit"" is a lot better."
1,This book may have been one of the best books of the 19th century but its language and themes don't relate to us very much any more. The Scarlet Letter is very boring and never seems to end. I really disliked the book.
2,"in not sure what to think i have read alot of other reviews but reading all of those have made me change my mind alot. at first i thought it would be sooooo cool to get one but then they sounded kinda boreing, then when i read how much it was like a tomagotchi i got really extited. i have luved tomagotchi ever scence i got one for christmas, and have been playing neopets ever scence it started. i luv neopets so much and cant wait to get my own pocket neopet. i have changed accounts alot but look me up at jportune"
1,"Drew Barrymore sparkles, as always. Unfortunately, the male characters are all shallow, dirty minded, and creepy. At the point where the Hawaiian guy puts coconuts on his chest and tries to lick his [...], I gave up. I should have given up earlier, but I hardly ever give up on a film. This is definitely a movie geared toward teenage boys developmentally delayed between the stages of potty training and early puberty."
1,Terrible Keanu Reeves supernatural epic that even makes the last two matrix films look like masterpieces compared to it. Keanu does give the worse performance of his career with this turkey and the film itself is almost as bad as his performance with sloppy dialog and lackluster special effects. Rachel Weisz literally gives the only good performance in the entire movie and that's really because she is the only professional actor in it. The rest of the cast is made up of no name actors who make Keanu look like a genius in the acting profession.See it if you are desperate for entertainment or can't get a date.
1,Put new batteries in - product wont turn on at all - very disappointed !!! Save your money - many others are better - should have read the other reviews and then i would have been warned
2,This was ordered for a teenager who had it on his reading list. It was an excellent used copy and a great value for the money.
1,The Rhomba is cheaply made. Mine stopped working completely after about two months. Piece of garbage.
1,"I guess the part I liked best was where Eleanor discovered that she was related to the ghost haunting the house. It was really believable. Tears came to my eyes it was so touching. Then, when the cherubs on the wall came to life, I was even more moved as there little souls finally were freed to go to heaven. That was really touching. I am just amazed at the screenwriter's brilliance. And all those special effects! He was so clever to add those. It must of taken a great deal of intelligence to have everything--even the ceilings come alive. I feel richer as a human for investing my time in this masterpiece."
2,"Take advantage of a superbly produced Video and Narration! If like us, you have never been to Alaska, you can enjoy it's grandeur through the Lens and Narration of Cliff Fenno in such a way that you will be convinced you are actually taking the trip with he and his wife. The author obviously has a deep love and respect for the Wildlife and the Alaskan Wilderness that he so expertly captures on the video. He narrates the Alaskan Scenic Wonders in such a personal, down to earth way that you cannot help but develop a great appreciation for what may well be the last of the North American Wilderness! We believe this video can stimulate the interest and imagination of viewers of all ages."
