id,creationdate,score,viewcount,title,answercount,tags,quest_name
48046500,2018-01-01 00:35:52,1,126,Array in Pandas Dataframe,1,"python, json, pandas",Tobi
48046520,2018-01-01 00:41:07,1,131,Pandas manual label encoding,0,"python, pandas",Marvin Taschenberger
48046643,2018-01-01 01:26:14,0,487,Write Pandas Dataframe to CSV with a variable name in pathway,1,"pandas, operating-system, export-to-csv, sys",Matt
48046647,2018-01-01 01:27:54,0,136,Adding a time index to a pandas dataframe from google finance,1,"python, pandas, datetime, indexing, google-finance-api",pmillerhk
48046766,2018-01-01 02:07:39,-3,52,"How to convert values of a pandas data frame column to a numeric representation based on the number of unique values, all at once in Python?",1,"python, pandas",user2277675
48047711,2018-01-01 06:50:10,1,47,create a dictionary in python from columns of a dataframe,1,"python, pandas, dictionary, key-value",Shuvayan Das
48047782,2018-01-01 07:04:10,0,39,pandas clever way of setting columns under conditions,2,"python, pandas",user8641707
48047935,2018-01-01 07:36:26,1,55,Pandas misinterpreting date column in CSV file,1,"python, pandas, csv, datetime",codenut
48048322,2018-01-01 08:50:35,1,34,Summing up values across multiple columns into groups which are defined in a dictionary,1,"python, pandas, dictionary",Shuvayan Das
48048504,2018-01-01 09:25:21,0,956,LabVIEW TDMS file read with python pandas,1,"python-3.x, pandas, labview",Sundar N
48048515,2018-01-01 09:27:11,-3,52,Rewrite NLTK code to a function which can be used multiple times in Python,1,"python, function, pandas, nltk",Snehal pankaj
48048577,2018-01-01 09:38:19,0,29,Formatting dataframe output into JSON records by group,1,"python, json, pandas, dataframe, group-by",Aman Singh
48049087,2018-01-01 10:59:38,8,2098,NLTK-based text processing with pandas,1,"python, string, pandas, dataframe, nltk",ashok eapen
48049206,2018-01-01 11:18:12,0,39,Calculating percentile of each device_id in a particular column,0,"python, pandas, percentile",Shuvayan Das
48049635,2018-01-01 12:24:35,3,63,Transform pandas dataframe to another layout,2,"python, pandas, dataframe",user9160422
48049690,2018-01-01 12:33:27,0,24,Vectorized operations on 2 columns of different dataframes,0,"python, pandas",Erick
48050391,2018-01-01 14:18:01,1,41,Select python data-frame columns with similar names,2,"python, python-2.7, pandas, subset",Xiatingp
48050769,2018-01-01 15:13:47,3,2054,Pandas dataframe to flask template as a json,1,"python, json, pandas, flask",Tobi
48050906,2018-01-01 15:32:36,0,29,Multiple filter operations on the same dataframe [Pandas],1,"python, pandas",Muhammad Asif Khan
48050998,2018-01-01 15:45:09,0,492,Label Binarizer: Multiple Columns,2,"python, python-3.x, pandas, scikit-learn",WhiteSolstice
